data;vazaoturbItaipu
12/01/2024;10039
19/01/2024;9910
26/01/2024;9846
02/02/2024;8486
09/02/2024;8058
16/02/2024;7009
23/02/2024;7508
01/03/2024;7537
08/03/2024;7800
15/03/2024;6915
22/03/2024;6574
29/03/2024;6170
05/04/2024;6173
12/04/2024;5820
19/04/2024;5367
26/04/2024;7111
03/05/2024;6760
10/05/2024;5573
17/05/2024;5188
24/05/2024;5383
31/05/2024;5122
14/06/2024;5881
21/06/2024;6057
28/06/2024;5435
05/07/2024;5431
12/07/2024;5757
19/07/2024;6129
26/07/2024;5563
02/08/2024;5634
09/08/2024;5915
16/08/2024;5747
23/08/2024;6136
30/08/2024;5765
06/09/2024;6236
13/09/2024;6275
20/09/2024;6396
27/09/2024;7024
04/10/2024;7688
11/10/2024;6791
18/10/2024;6165
25/10/2024;7022
01/11/2024;6903
08/11/2024;7132
15/11/2024;7064
22/11/2024;7839
29/11/2024;8236
06/12/2024;9589
13/12/2024;10551
20/12/2024;10857
27/12/2024;8163
03/01/2025;7089
