data;demanda
2023-11-03;92557,00
2023-11-10;95371,00
2023-11-17;101472,00
2023-11-24;97259,00
2023-12-01;97182,00
2023-12-08;99584,00
2023-12-15;99467,00
2023-12-22;100582,00
2023-12-29;87869,00
2024-01-05;85618,00
2024-01-12;96499,00
2024-01-19;98631,00
2024-01-26;90018,00
2024-02-02;95851,00
2024-02-09;101478,00
2024-02-16;91217,00
2024-02-23;95649,00
2024-03-01;99383,00
2024-03-08;96758,00
2024-03-15;102086,00
2024-03-22;100475,00
2024-03-29;89229,00
2024-04-05;95807,00
2024-04-12;93478,00
2024-04-19;92287,00
2024-04-26;91934,00
2024-05-03;93511,00
2024-05-10;92834,00
2024-05-17;91436,00
2024-05-24;90072,00
2024-05-31;87507,00
2024-06-07;87885,00
2024-06-14;89890,00
2024-06-21;89014,00
2024-06-28;89898,00
2024-07-05;88137,00
2024-07-12;89621,00
2024-07-19;87337,00
2024-07-26;88292,00
2024-08-02;88963,00
2024-08-09;90411,00
2024-08-16;89376,00
2024-08-23;91991,00
2024-08-30;89575,00
2024-09-06;93252,00
2024-09-13;94892,00
2024-09-20;92460,00
2024-09-27;99075,00
2024-10-04;98408,00
2024-10-11;96395,00
2024-10-18;93214,00
2024-10-25;96094,00
2024-11-01;91459,00
2024-11-08;94718,00
2024-11-15;93127,00
2024-11-22;94729,00
2024-11-29;101245,00
2024-12-06;98783,00
2024-12-13;94145,00
2024-12-20;93478,00
2024-12-27;86711,00
2025-01-03;88858,00
